"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","une fois par mois","bien","pas terrible","très bien","bien","bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","","","oui","","X","X","","","","","","","","","","X","","","X","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Le partage d'information claire et l'espace de rencontre entre coopérateurs et coopératrices","Chaque Forum nécessite d'être fixé sur un ou deux thèmes pour faciliter la clarté de l'info","oui","non","","","","","","","","","","oui tout à fait","Distribution du manuel des coopérateurs ","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","très bien","très bien","","","",""
"plus de 60 ans","retraité.e","un homme","depuis la nuit des temps","deux fois par mois","pas terrible","bien","pas terrible","bien","bien","bien","bien","bien","bien","pas terrible","bien","pas terrible","bien","bien","pas terrible","poissons","animations courses","oui","","","X","","X","","","","","","","","","X","","","","","","","X","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","particpation des gens, rencontres","Une réflexion sur notre éthique, sur les produits","oui","oui","","","","X","","","","","","oui tout à fait","Un kit de réflexion","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","bien","","","","Bravo pour cette enquête"
"entre 20 et 30 ans","étudiant.e","un homme","depuis la nuit des temps","deux fois par mois","bien","très bien","bien","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","très bien","bien","bien","très bien","très bien","","","oui","X","","","","X","X","X","","","X","","","","","","","","","","","X","X","","X","X","","X","","une fois par mois","","","","","","","","X","","X","X","","","","","","","X","","","","","","","","","","","","","","","","","","X","X","","","","oui","","","","","","","non","","","","","X","Je ne sais pas à quoi ça sert ou ce que je pourrais y apporter","","","non","oui","","","X","X","","","","","edwyn.guerineau@lilo.org","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","Refaire des atelires ou des concours, j'étais très tenté mais je n'ai pas pu y participer","non","",""
"plus de 60 ans","retraité.e","un homme","depuis la nuit des temps","une fois par semaine","bien","très bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","pas terrible","bien","pas terrible","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","Les produits","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","bien","très bien","très bien","pas terrible","bien","pas terrible","bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","bien","très bien","bien","bien","bien","bien","bien","bien","bien","bien","très bien","bien","bien","bien","bien","","","oui","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","X","","","","","moins d'une fois par mois","","","","","","","","","","X","","","X","X","X","X","X","","","","","X","","","X","","","X","","","X","","","X","","","","","","","oui","","","","","","","oui","","","","","","","Les échanges, le suivi du projet","","oui","non","","","","","","","","","","un peu","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à mi-temps","un homme","depuis la nuit des temps","une fois par semaine","bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","bien","très bien","très bien","miso. vinaigre en ""vrac"".birarbonate alimentaire en ""vrac"". etc","","oui","X","X","X","X","X","X","X","X","X","X","X","X","","","","X","","X","X","","X","X","X","X","X","","X","X","une fois par mois","","","","","","","","","","","X","","X","X","","X","X","X","X","X","X","X","X","X","","","","","","X","X","","X","X","X","X","X","X","X","X","oui","","","","","","","oui","","","","","","","","","non","oui","X","X","","X","X","X","","","rduret@free.fr","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","musiciens","oui","","bravo !"
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par semaine","pas terrible","pas terrible","pas terrible","bien","bien","bien","très bien","très bien","très bien","pas terrible","bien","bien","bien","bien","bien","produits végétariens et véganes","plus d'heures d'ouverture","non","X","X","X","X","X","X","","X","X","","X","X","","X","X","","X","X","","X","X","X","X","X","","","","","une fois par mois","","","","","","","","","X","","","","X","X","X","X","X","","","X","X","X","X","","","X","","","X","X","X","X","X","X","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 40 et 50 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","pas terrible","très bien","très bien","bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","Gomasio en vrac ,graines de sésame, graines à germer","Légumes verts à foison!!! Je mange principalement des légumes, fruits,graines et fruits à coque 😁","non","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","une fois par mois","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","oui","","","","","","","non","","","","","X","Je compte venir ","","Question approvisionnement légumes et fruits frais. Comment l’améliore","non","oui","X","X","","","","","","X","celinegicquel72@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","","","","Publier 1 photo de l’étalage Fruits et légumes sur Facebook tous les mercredis"
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par mois","pas terrible","bien","pas d'avis","pas terrible","bien","bien","bien","très bien","bien","bien","pas d'avis","pas d'avis","bien","bien","bien","Viande, charcuterie, poisson et + de vrac","Moins de produits emballés dans du plastique non recyclable ! Plus de constance dans les stocks","oui","","","X","","X","X","","","","","","","","","X","X","","","","","X","X","X","X","X","","","","une fois par mois","","","","","","","","","","","X","","","X","X","","X","X","","","","","X","","","","","X","","","","X","","X","X","X","X","","","","oui","","","","","","","non","","","","","X","Problème de planning ! Et parfois de lieu...","","","non","oui","","","X","","X","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","X","X","X","","X","","","","","","","X","","","X","","","X","","","","X","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","oui","","","","","","","Rencontrer et échanger avec d'autres membres ","","oui","non","","","","","","","","","","un peu","","j’y ai déjà accès","bien","bien","bien","bien","bien","bien","bien","bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","un homme","entre 6 mois et un an","jamais","","","","","","","","","","","","","","","","","","oui","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","je n'ai jamais fait de créneau","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","non","X","","","","","","non","","","X","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","auto-entrepreneu.r.se","un homme","depuis la nuit des temps","une fois par semaine","pas terrible","très bien","bien","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","très bien","bien","bien","Du vrac de produit ménager","Améliorer la rapidité de certaine personne en caisse, je sais que c'est difficile mais si on est préssé on attend parfois trop.","oui","X","X","X","X","X","X","X","","","X","","","X","","","X","","","X","","","X","X","X","X","X","","","une fois par mois","","","","","","","","","","","","","X","","X","","X","","X","","","X","","","","","","X","","","","","","X","","","","X","","","oui","","","","","","","oui","","","","","","","Le partage, les informations","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","bien","bien","pas d'avis","très bien","bien","bien","bien","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","une fois par semaine","bien","bien","bien","pas terrible","bien","bien","très bien","très bien","bien","bien","bien","pas terrible","bien","pas d'avis","pas d'avis","gros cornichons malossol, brousse du Rove, pain de sarrasin, de seigle...","passer du mini au super cafoutch !","oui","X","X","X","X","","","","","X","X","","X","X","","X","X","","X","X","","","","","","","","","","plus d'une fois par mois","","","","","","","","X","X","","","","X","X","X","X","","","","","X","","","X","","","X","","","X","","","","","","","","","","","oui","","","","","","","non","","","","","X","pas encore eu le temps...","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par mois","pas terrible","pas terrible","bien","bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","bien","bien","bien","Protéines viandes poissons jambon","","non","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","Le peu de présents ","","oui","non","","","","","","","","","","un peu","Pas d idées  celles existantes ( réunion d intégration  apéros ) ayant peu de succes","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","Pas d idées je n ai pas pu assister à  toutes mais de très  bonnes idées ","non","","Je reviens sur la réponse sur le DRIVE  pourrait être  peu être juste consultable et plus clair ou mieux classé "
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par semaine","pas terrible","très bien","très bien","bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas terrible","très bien","pas d'avis","bien","très bien","bien","les produits vegan ","la taille ","oui","X","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","une fois par mois","","","","","","","","","X","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","je n'ai pas encore eu l'occasion ","","","oui","oui","X","","X","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","bien","très bien","très bien","encore plus de vrac ! :)","Sur l'épicerie test, difficile. Pour le futur super, plus de places entre les rayonnages pour se croiser, plus de caisses...","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","X","","X","X","","X","X","X","X","","","X","","","X","","","","","","X","","","X","X","","","X","","","oui","","","","","","","oui","","","","","","","L'énergie collective !","","non","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 20 et 30 ans","étudiant.e","une femme","entre 6 mois et un an","deux fois par mois","bien","pas terrible","mauvais","bien","très bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","très bien","pas terrible","Du vrac de lessive et produit vaisselle (et on a la place pour, il suffit de mettre un bidon en soit).","Des fruits et légumes abordables. Parce-que là c'est vraiment pas possible. Pour moi ce doit être moins de 2 euros le kilogramme","non","X","X","X","X","X","X","X","","","X","","","X","","","X","","","X","","","X","","X","X","","X","X","une fois par mois","","","","","","","","X","","X","","","","","X","X","","","","","","","","","","","","X","","","X","","","","","","","","","","oui","","","","","","","non","","","","","","","","","non","oui","X","","X","","X","","","","dumascamille.dc@gmail.com","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","bien","bien","très bien","bien","pas terrible","pas terrible","bien","bien","","","",""
